Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat #tellus,6672567125560790,2020-06-30 21:09 +0000,365,4,0.010958904,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non #ullamcorper,8265456713789040,2020-06-30 17:14 +0000,184,2,0.010869565,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis #in,281117346800427,2020-06-30 16:59 +0000,2644,46,0.017397882,1,1,17,0,3,0,23,0,0,0,0,0,0,354,1
aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt #vulputate,7758025943576750,2020-06-30 13:55 +0000,301,3,0.009966777,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue #nonummy,6131837006729570,2020-06-30 12:13 +0000,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at #ut,7158204930285070,2020-06-30 12:06 +0000,962,37,0.038461538,0,2,7,6,0,3,19,0,0,0,0,0,0,0,0
morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit #scelerisque,8412656725709000,2020-06-30 11:29 +0000,198,4,0.02020202,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id #pellentesque,1697739445805240,2020-06-30 11:20 +0000,1298,28,0.021571649,0,2,3,0,0,3,20,0,0,0,0,0,0,0,0
tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo #justo,5739997848071200,2020-06-30 11:04 +0000,160,3,0.01875,0,1,1,0,0,0,1,0,0,0,0,0,0,27,0
ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla #nisi,7941923809016870,2020-06-30 11:01 +0000,1080,25,0.023148148,0,2,7,0,2,2,9,0,0,0,0,0,0,191,3
mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a #eget,3509986223088250,2020-06-30 10:53 +0000,477,19,0.039832285,0,0,1,0,0,1,4,0,0,0,0,0,0,13,13
vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue #id,5002403674659650,2020-06-30 10:53 +0000,295,5,0.016949153,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0
nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam #lacus,8684148510211990,2020-06-30 10:51 +0000,77,2,0.025974026,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis #cubilia,142743288016432,2020-06-30 10:27 +0000,185,7,0.037837838,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis #et,8250842529050670,2020-06-30 10:24 +0000,854,16,0.018735363,0,2,3,2,0,5,4,0,0,0,0,0,0,0,0
ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas #condimentum,5013146680806650,2020-06-30 10:09 +0000,289,4,0.01384083,0,1,2,0,1,0,0,0,0,0,0,0,0,56,0
faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet #id,1585048493828760,2020-06-30 09:56 +0000,1449,65,0.044858523,0,1,19,4,3,1,3,0,0,0,0,0,0,34,34
pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc #ut,3423723845271090,2020-06-30 09:48 +0000,37,2,0.054054054,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #pede,9654780253763180,2020-06-30 09:42 +0000,63,1,0.015873016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien #pretium,310357079126637,2020-06-30 09:41 +0000,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie #id,297132001634314,2020-06-30 09:39 +0000,104,2,0.019230769,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #in,6655019513888310,2020-06-30 09:32 +0000,170,4,0.023529412,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum #at,1688783569958440,2020-06-30 09:32 +0000,925,21,0.022702703,0,1,7,2,0,6,5,0,0,0,0,0,0,0,0
ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #tortor,7123232127275090,2020-06-30 09:05 +0000,253,28,0.110671937,0,1,3,0,0,3,2,0,0,0,0,0,0,19,19
morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat #sem,8153352925192020,2020-06-30 09:02 +0000,52,3,0.057692308,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0
nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at #sit,4001771679746180,2020-06-30 09:00 +0000,65,5,0.076923077,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum #molestie,332228473141166,2020-06-30 08:55 +0000,215,5,0.023255814,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque #nisl,5531332295209850,2020-06-30 08:46 +0000,172,10,0.058139535,0,1,2,5,0,0,2,0,0,0,0,0,0,0,0
